kingdom	phylum	class	order	family	genus	species	lastvalue	otu_seq_comp_appr	otu_db	lsid	taxonRank	specificEpithet
asv.9348									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5418									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4885									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3978									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4566									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3461									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6391									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2867									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9353									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2306									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3712									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8472									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2247									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8063									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2822									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10183									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10215									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9197									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3400									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5010									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3127									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9822									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6892									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10481									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3047									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8498									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10199									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10003									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3777									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8686									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3420									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2939									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3459									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8159									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6404									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7986									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10234									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2368									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9124									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6039									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9750									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7479									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9710									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10048									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10526									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4738									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1769									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2527									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4059									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5804									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3836									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2687									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8696									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8042									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9585									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9801									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10228									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3172									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9615									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4971									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7214									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5512									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9421									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2987									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3111									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10016									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9783									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9749									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8562									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9807									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2971									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6729									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2499									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4841									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2600									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3764									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3108									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10070									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3046									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8181									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10175									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10214									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9797									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9805									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3194									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2642									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2774									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9453									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10545									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9602									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9810									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10626									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9782									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10178									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3282									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1248									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9665									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10619									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10494									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9184									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7560									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10184									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7939									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3570									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2684									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7466									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3532									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3963									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4613									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3937									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4717									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3063									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7982									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9778									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10069									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8999									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6602									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9754									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10330									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9763									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3495									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4441									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5838									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3288									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3199									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2536									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10595									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2411									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4772									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9440									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2815									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3006									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4373									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2866									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10547									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2835									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9752									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9910									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2890									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3427									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4667									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10245									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9022									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3113									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2232									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9177									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9151									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3721									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9777									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10326									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2229									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4445									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4123									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10231									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3324									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4358									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9457									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8671									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2442									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9452									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2222									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9757									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9317									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10006									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2758									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9784									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3222									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9987									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5801									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8501									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9824									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4473									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3348									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2879									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9812									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2453									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10553									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9908									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10498									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9913									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9446									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10206									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1361									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2743									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3269									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3110									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3332									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2459									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7050									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9740									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4232									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9739									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10018									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7912									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9817									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8792									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6601									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8490									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10621									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8844									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2125									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8410									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3061									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3544									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9419									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8483									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6380									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10455									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9664									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10143									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5391									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9921									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4106									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4024									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9660									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9094									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10015									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6968									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9199									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4721									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3045									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8122									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4208									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6878									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9425									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2597									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2995									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2618									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10188									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10193									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9748									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9172									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5986									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9427									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7226									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5825									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8238									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9833									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10486									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3193									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3208									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9191									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5032									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2550									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2480									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4246									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2834									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5156									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3372									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5746									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9835									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5574									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8577									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10030									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2625									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9154									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2521									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2922									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9792									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9818									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10546									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10363									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2762									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9925									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5782									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6958									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8865									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2708									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10229									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9028									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9424									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5660									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8651									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9974									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8693									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8206									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3489									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9988									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10247									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9418									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7117									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7686									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10456									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3157									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4575									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10062									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6964									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10235									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9420									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3040									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2704									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3271									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6758									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2384									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9294									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3220									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9468									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3844									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10475									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10402									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9742									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8284									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3267									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5475									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10610									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2449									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3433									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10073									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6366									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2026									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3221									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2063									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9162									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9584									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9088									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9932									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5141									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9919									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3882									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4659									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9607									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3666									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3494									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2959									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7498									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2470									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7780									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8903									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4905									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8869									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10376									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10241									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9466									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
